achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.856,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.083,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.912,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.846,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.852,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.826,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.837,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.834,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.828,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.84,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.825,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.271,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.073,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.249,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,5.803,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.836,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.653,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.602,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.576,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.58,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.565,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.583,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.565,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.573,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.394,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.933,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.847,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.836,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.189,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.304,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.964,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.619,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.59,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.589,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.897,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.865,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.781,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.594,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.586,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.572,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.589,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.561,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.581,True,,,0.3853,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.564,True,,,0.6136,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.4999,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.941,True,,,0.6991,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.647,True,,,0.6992,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.572,True,,,0.6996,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.573,True,,,0.6985,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.753,True,,,0.6991,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.603,True,,,0.6793,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.575,True,,,0.6878,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.579,True,,,0.6983,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.564,True,,,0.6966,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.573,True,,,0.6992,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.579,True,,,0.6975,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.568,True,,,0.6961,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.564,True,,,0.699,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.59,True,,,0.6973,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.565,True,,,0.6988,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.567,True,,,0.6995,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.559,True,,,0.6967,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.581,True,,,0.6972,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.564,True,,,0.6916,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.561,True,,,0.6952,,1,,,
