attack_type,blend_ratio,description,jitter_pct,latency_ms,noise_pct,passed,score,source_idx,targeted_feats
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.163,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.66,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.542,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.519,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.469,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.468,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.46,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.476,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.465,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.456,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.452,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.466,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.464,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.456,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.547,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.753,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.363,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.02,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.901,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.86,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.838,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.844,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.817,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.842,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.915,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.643,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.661,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.597,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.575,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.592,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.583,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.568,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.563,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.57,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.575,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.565,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.57,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.799,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.095,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.922,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.33,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,2.583,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,2.294,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.862,,True,1.0,3,
