fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6953,and,keystroke_replay,1.0,True,voice_replay,0.6953
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.695,and,keystroke_replay,1.0,True,voice_replay,0.695
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6946,and,keystroke_replay,1.0,True,voice_replay,0.6946
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.0003,and,keystroke_synthetic_variation,0.0003,False,voice_synthetic,0.5702
0.5315,and,keystroke_synthetic_variation,0.8969,True,voice_synthetic,0.5315
0.009,and,keystroke_synthetic_variation,0.009,False,voice_synthetic,0.605
0.1747,and,keystroke_synthetic_variation,0.1747,False,voice_synthetic,0.6787
0.0003,and,keystroke_synthetic_variation,0.0003,False,voice_synthetic,0.4479
0.0009,and,keystroke_synthetic_variation,0.0009,False,voice_synthetic,0.6759
0.2602,and,keystroke_synthetic_variation,0.2602,False,voice_synthetic,0.5387
0.329,and,keystroke_synthetic_variation,0.329,False,voice_synthetic,0.5344
0.2832,and,keystroke_synthetic_variation,0.2832,False,voice_synthetic,0.6535
0.5353,and,keystroke_synthetic_variation,0.5694,False,voice_synthetic,0.5353
0.6718,and,keystroke_synthetic_variation,0.9997,True,voice_synthetic,0.6718
0.0007,and,keystroke_synthetic_variation,0.0007,False,voice_synthetic,0.6755
0.0003,and,keystroke_synthetic_variation,0.0003,False,voice_synthetic,0.6575
0.6031,and,keystroke_synthetic_variation,0.9752,True,voice_synthetic,0.6031
0.003,and,keystroke_synthetic_variation,0.003,False,voice_synthetic,0.6355
0.001,and,keystroke_synthetic_variation,0.001,False,voice_synthetic,0.676
0.6506,and,keystroke_synthetic_variation,0.8887,True,voice_synthetic,0.6506
0.0007,and,keystroke_synthetic_variation,0.0007,False,voice_synthetic,0.6749
0.5376,and,keystroke_synthetic_variation,0.9944,True,voice_synthetic,0.5376
0.1274,and,keystroke_synthetic_variation,0.1274,False,voice_synthetic,0.6758
0.0002,and,keystroke_synthetic_variation,0.0002,False,voice_synthetic,0.6677
0.0011,and,keystroke_synthetic_variation,0.0011,False,voice_synthetic,0.6774
0.4848,and,keystroke_synthetic_variation,0.4848,False,voice_synthetic,0.6099
0.185,and,keystroke_synthetic_variation,0.185,False,voice_synthetic,0.6289
0.0005,and,keystroke_synthetic_variation,0.0005,False,voice_synthetic,0.6757
0.0002,and,keystroke_synthetic_variation,0.0002,False,voice_synthetic,0.6765
0.0003,and,keystroke_synthetic_variation,0.0003,False,voice_synthetic,0.5274
0.0001,and,keystroke_synthetic_variation,0.0001,False,voice_synthetic,0.6
0.0016,and,keystroke_synthetic_variation,0.0016,False,voice_synthetic,0.5339
0.5504,and,keystroke_synthetic_variation,0.8052,False,voice_synthetic,0.5504
0.0029,and,keystroke_synthetic_variation,0.0029,False,voice_synthetic,0.6659
0.0013,and,keystroke_synthetic_variation,0.0013,False,voice_synthetic,0.6066
0.5603,and,keystroke_synthetic_variation,0.5684,False,voice_synthetic,0.5603
0.0003,and,keystroke_synthetic_variation,0.0003,False,voice_synthetic,0.5717
0.0001,and,keystroke_synthetic_variation,0.0001,False,voice_synthetic,0.6622
0.6734,and,keystroke_synthetic_variation,0.8265,True,voice_synthetic,0.6734
0.6733,and,keystroke_synthetic_variation,0.9934,True,voice_synthetic,0.6733
0.1518,and,keystroke_synthetic_variation,0.1518,False,voice_synthetic,0.6097
0.0001,and,keystroke_synthetic_variation,0.0001,False,voice_synthetic,0.6101
0.5018,and,keystroke_synthetic_variation,0.5018,False,voice_synthetic,0.609
0.2061,and,keystroke_synthetic_variation,0.2061,False,voice_synthetic,0.2828
0.0001,and,keystroke_synthetic_variation,0.0001,False,voice_synthetic,0.6536
0.0006,and,keystroke_synthetic_variation,0.0006,False,voice_synthetic,0.6224
0.0001,and,keystroke_synthetic_variation,0.0001,False,voice_synthetic,0.6095
0.0006,and,keystroke_synthetic_variation,0.0006,False,voice_synthetic,0.5071
0.63,and,keystroke_synthetic_variation,0.8836,True,voice_synthetic,0.63
0.0014,and,keystroke_synthetic_variation,0.0014,False,voice_synthetic,0.6706
0.5606,and,keystroke_synthetic_variation,0.6321,False,voice_synthetic,0.5606
0.0006,and,keystroke_synthetic_variation,0.0006,False,voice_synthetic,0.5943
0.0002,and,keystroke_synthetic_variation,0.0002,False,voice_synthetic,0.668
0.0019,and,keystroke_synthetic_variation,0.0019,False,voice_synthetic,0.6851
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.6923
0.0019,and,keystroke_synthetic_variation,0.0019,False,voice_synthetic,0.6756
0.0017,and,keystroke_synthetic_variation,0.0017,False,voice_synthetic,0.6949
0.0019,and,keystroke_synthetic_variation,0.0019,False,voice_synthetic,0.6969
0.0016,and,keystroke_synthetic_variation,0.0016,False,voice_synthetic,0.6944
0.0019,and,keystroke_synthetic_variation,0.0019,False,voice_synthetic,0.6945
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.6844
0.001,and,keystroke_synthetic_variation,0.001,False,voice_synthetic,0.6944
0.0019,and,keystroke_synthetic_variation,0.0019,False,voice_synthetic,0.6967
0.0023,and,keystroke_synthetic_variation,0.0023,False,voice_synthetic,0.694
0.0019,and,keystroke_synthetic_variation,0.0019,False,voice_synthetic,0.695
0.0011,and,keystroke_synthetic_variation,0.0011,False,voice_synthetic,0.6797
0.003,and,keystroke_synthetic_variation,0.003,False,voice_synthetic,0.6927
0.002,and,keystroke_synthetic_variation,0.002,False,voice_synthetic,0.6917
0.0016,and,keystroke_synthetic_variation,0.0016,False,voice_synthetic,0.6839
0.0019,and,keystroke_synthetic_variation,0.0019,False,voice_synthetic,0.6881
0.0011,and,keystroke_synthetic_variation,0.0011,False,voice_synthetic,0.6962
0.0022,and,keystroke_synthetic_variation,0.0022,False,voice_synthetic,0.6853
0.0194,and,keystroke_synthetic_variation,0.0194,False,voice_synthetic,0.6948
0.0015,and,keystroke_synthetic_variation,0.0015,False,voice_synthetic,0.6846
0.0024,and,keystroke_synthetic_variation,0.0024,False,voice_synthetic,0.6832
0.002,and,keystroke_synthetic_variation,0.002,False,voice_synthetic,0.6822
0.0016,and,keystroke_synthetic_variation,0.0016,False,voice_synthetic,0.6952
0.0017,and,keystroke_synthetic_variation,0.0017,False,voice_synthetic,0.6742
0.002,and,keystroke_synthetic_variation,0.002,False,voice_synthetic,0.6855
0.001,and,keystroke_synthetic_variation,0.001,False,voice_synthetic,0.6966
0.0021,and,keystroke_synthetic_variation,0.0021,False,voice_synthetic,0.6964
0.0017,and,keystroke_synthetic_variation,0.0017,False,voice_synthetic,0.696
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.6921
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.6947
0.0017,and,keystroke_synthetic_variation,0.0017,False,voice_synthetic,0.6925
0.0045,and,keystroke_synthetic_variation,0.0045,False,voice_synthetic,0.6838
0.0012,and,keystroke_synthetic_variation,0.0012,False,voice_synthetic,0.6876
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.6837
0.0013,and,keystroke_synthetic_variation,0.0013,False,voice_synthetic,0.6968
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.696
0.0017,and,keystroke_synthetic_variation,0.0017,False,voice_synthetic,0.6968
0.0009,and,keystroke_synthetic_variation,0.0009,False,voice_synthetic,0.6921
0.0041,and,keystroke_synthetic_variation,0.0041,False,voice_synthetic,0.693
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.6965
0.002,and,keystroke_synthetic_variation,0.002,False,voice_synthetic,0.6965
0.0017,and,keystroke_synthetic_variation,0.0017,False,voice_synthetic,0.6835
0.0023,and,keystroke_synthetic_variation,0.0023,False,voice_synthetic,0.6942
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.6893
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.695
0.0017,and,keystroke_synthetic_variation,0.0017,False,voice_synthetic,0.6856
0.002,and,keystroke_synthetic_variation,0.002,False,voice_synthetic,0.6953
0.0017,and,keystroke_synthetic_variation,0.0017,False,voice_synthetic,0.6942
0.0018,and,keystroke_synthetic_variation,0.0018,False,voice_synthetic,0.6961
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0002
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0009
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0001,and,keystroke_replay,0.0001,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0001,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0002
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0005
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0002
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0004
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0008
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0013
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0004
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0002
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0003
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0022
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0012
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0051
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0002
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,0.0,False,voice_replay,0.0001
