fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6968,and,keystroke_replay,1.0,True,voice_replay,0.6968
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6949,and,keystroke_replay,1.0,True,voice_replay,0.6949
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6968,and,keystroke_replay,1.0,True,voice_replay,0.6968
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6971,and,keystroke_replay,1.0,True,voice_replay,0.6971
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6928,and,keystroke_replay,1.0,True,voice_replay,0.6928
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
