achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.317,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.956,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.917,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.88,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.074,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.054,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.978,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.061,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.858,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.745,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.765,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.722,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.56,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.903,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.108,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.548,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.684,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.284,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.675,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.805,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.59,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.717,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.105,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.603,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.577,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.571,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.557,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.549,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.554,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.562,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.549,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.617,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.748,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.571,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.571,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.555,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.61,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.548,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.547,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.557,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.545,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.544,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.555,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.549,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,True,,,0.3644,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.783,True,,,0.4181,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.587,True,,,0.438,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.572,True,,,0.6992,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.572,True,,,0.6995,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.556,True,,,0.6996,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.563,True,,,0.6991,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.555,True,,,0.6991,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.567,True,,,0.6941,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.555,True,,,0.6966,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.559,True,,,0.6989,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.563,True,,,0.6977,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.554,True,,,0.6992,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.555,True,,,0.6993,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.553,True,,,0.6995,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,1.251,True,,,0.6986,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.908,True,,,0.699,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.863,True,,,0.6978,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.826,True,,,0.6993,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.838,True,,,0.6992,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.82,True,,,0.6984,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.849,True,,,0.6988,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.83,True,,,0.6992,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.814,True,,,0.6988,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.899,True,,,0.6993,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,1.132,True,,,0.6995,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.972,True,,,0.6879,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.888,True,,,0.6996,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.895,True,,,0.6994,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.805,True,,,0.6995,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.681,True,,,0.6988,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.685,True,,,0.695,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.674,True,,,0.6992,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.66,True,,,0.6996,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.55,True,,,0.6992,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.57,True,,,0.6993,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.55,True,,,0.6947,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.559,True,,,0.699,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.558,True,,,0.6983,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.551,True,,,0.699,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.548,True,,,0.699,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.559,True,,,0.6996,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.549,True,,,0.6974,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.551,True,,,0.6993,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.562,True,,,0.671,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.551,True,,,0.6996,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.555,True,,,0.6995,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.552,True,,,0.6995,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.564,True,,,0.6994,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,1.279,True,,,0.6993,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.987,True,,,0.6977,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.876,True,,,0.6992,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.832,True,,,0.6993,,1,,,
