fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.693,and,keystroke_replay,1.0,True,voice_replay,0.693
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6923,and,keystroke_replay,1.0,True,voice_replay,0.6923
0.6949,and,keystroke_replay,1.0,True,voice_replay,0.6949
0.6905,and,keystroke_replay,1.0,True,voice_replay,0.6905
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6961,and,keystroke_replay,1.0,True,voice_replay,0.6961
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.6972,and,keystroke_replay,1.0,True,voice_replay,0.6972
0.6901,and,keystroke_replay,1.0,True,voice_replay,0.6901
0.6921,and,keystroke_replay,1.0,True,voice_replay,0.6921
0.6971,and,keystroke_replay,1.0,True,voice_replay,0.6971
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.694,and,keystroke_replay,1.0,True,voice_replay,0.694
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6911,and,keystroke_replay,1.0,True,voice_replay,0.6911
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6922,and,keystroke_replay,1.0,True,voice_replay,0.6922
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6926,and,keystroke_replay,1.0,True,voice_replay,0.6926
0.6929,and,keystroke_replay,1.0,True,voice_replay,0.6929
0.6931,and,keystroke_replay,1.0,True,voice_replay,0.6931
0.6954,and,keystroke_replay,1.0,True,voice_replay,0.6954
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6952,and,keystroke_replay,1.0,True,voice_replay,0.6952
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6892,and,keystroke_replay,1.0,True,voice_replay,0.6892
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6955,and,keystroke_replay,1.0,True,voice_replay,0.6955
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6658,and,keystroke_replay,1.0,True,voice_replay,0.6658
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6944,and,keystroke_replay,1.0,True,voice_replay,0.6944
