achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.01,False,,,0.2399,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.646,False,,,0.2588,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.603,False,,,0.2473,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.585,False,,,0.2399,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,False,,,0.2588,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.576,False,,,0.2473,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.579,False,,,0.2399,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,False,,,0.2588,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.562,False,,,0.2473,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.58,False,,,0.2399,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.582,False,,,0.2588,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,False,,,0.2473,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.558,False,,,0.2399,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.573,False,,,0.2588,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,False,,,0.2473,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.572,False,,,0.2399,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.571,False,,,0.2588,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.392,False,,,0.2473,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.146,False,,,0.2399,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.455,False,,,0.2588,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.973,False,,,0.2473,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.409,False,,,0.2399,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.264,False,,,0.2588,,1,,,
