fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6972,and,keystroke_replay,1.0,True,voice_replay,0.6972
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.2027,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2027
0.4186,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4186
0.6922,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6922
0.2873,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2873
0.2378,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2378
0.347,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.347
0.2845,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2845
0.2945,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2945
0.3102,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3102
0.2932,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2932
0.2748,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2748
0.3221,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3221
0.3273,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3273
0.3691,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3691
0.4492,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4492
0.214,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.214
0.1535,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1535
0.4849,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4849
0.6921,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6921
0.4634,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4634
0.3708,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3708
0.2167,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2167
0.2382,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2382
0.489,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.489
0.2427,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2427
0.2731,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2731
0.6832,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6832
0.232,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.232
0.672,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.672
0.249,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.249
0.2289,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2289
0.2647,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2647
0.1697,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1697
0.4438,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4438
0.3946,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3946
0.2182,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2182
0.4768,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4768
0.6844,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6844
0.5022,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5022
0.2886,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2886
0.2482,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2482
0.3168,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3168
0.2804,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2804
0.6884,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6884
0.354,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.354
0.3246,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3246
0.3936,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3936
0.6869,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6869
0.483,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.483
0.2786,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2786
0.6691,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6691
0.4791,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4791
0.6738,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6738
0.34,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.34
0.3474,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3474
0.4037,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4037
0.3187,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3187
0.6972,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6972
0.2924,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2924
0.301,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.301
0.4078,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4078
0.5294,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5294
0.694,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.694
0.5309,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5309
0.4933,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4933
0.5881,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5881
0.5387,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5387
0.4502,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4502
0.6837,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6837
0.3492,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3492
0.4491,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4491
0.6777,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6777
0.3623,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3623
0.3484,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3484
0.6819,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6819
0.6932,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6932
0.2864,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2864
0.2291,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2291
0.5448,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5448
0.5684,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5684
0.4694,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4694
0.3545,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3545
0.6828,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6828
0.5767,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5767
0.6853,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6853
0.3776,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3776
0.5561,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5561
0.4625,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4625
0.5715,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5715
0.5471,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5471
0.4983,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4983
0.554,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.554
0.6966,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6966
0.3391,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3391
0.3374,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3374
0.4605,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4605
0.6897,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6897
0.4098,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4098
0.2657,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2657
0.4351,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4351
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,1.0,False,voice_replay,0.0
0.0003,and,keystroke_replay,1.0,False,voice_replay,0.0003
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0003,and,keystroke_replay,1.0,False,voice_replay,0.0003
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0016,and,keystroke_replay,1.0,False,voice_replay,0.0016
0.0003,and,keystroke_replay,1.0,False,voice_replay,0.0003
0.0003,and,keystroke_replay,1.0,False,voice_replay,0.0003
0.0009,and,keystroke_replay,1.0,False,voice_replay,0.0009
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0003,and,keystroke_replay,1.0,False,voice_replay,0.0003
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0004,and,keystroke_replay,1.0,False,voice_replay,0.0004
0.0003,and,keystroke_replay,1.0,False,voice_replay,0.0003
0.0019,and,keystroke_replay,1.0,False,voice_replay,0.0019
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0,and,keystroke_replay,1.0,False,voice_replay,0.0
0.0,and,keystroke_replay,1.0,False,voice_replay,0.0
0.0,and,keystroke_replay,1.0,False,voice_replay,0.0
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0001,and,keystroke_replay,1.0,False,voice_replay,0.0001
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0005,and,keystroke_replay,1.0,False,voice_replay,0.0005
0.0005,and,keystroke_replay,1.0,False,voice_replay,0.0005
0.0005,and,keystroke_replay,1.0,False,voice_replay,0.0005
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
0.0004,and,keystroke_replay,1.0,False,voice_replay,0.0004
0.0002,and,keystroke_replay,1.0,False,voice_replay,0.0002
