achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.987,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.651,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.609,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.579,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.557,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.558,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.565,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.573,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.564,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.552,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.598,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.579,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.558,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.56,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.557,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.576,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.562,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.562,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.555,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.562,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.561,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.295,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.827,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.478,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,3.518,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,3.522,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.127,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.18,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.069,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.071,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.867,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.829,True,,,0.7687,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.81,True,,,0.7145,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.817,True,,,0.6349,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.62,True,,,0.7228,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.652,True,,,0.7384,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,1.748,True,,,0.6991,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,1.767,True,,,0.6994,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.773,True,,,0.6997,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.531,True,,,0.6917,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.531,True,,,0.6994,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.602,True,,,0.699,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.541,True,,,0.6993,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.463,True,,,0.6992,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.443,True,,,0.6994,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.438,True,,,0.6995,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.447,True,,,0.6997,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.458,True,,,0.6989,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.459,True,,,0.6989,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.449,True,,,0.6994,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.719,True,,,0.6997,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.851,True,,,0.6992,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.713,True,,,0.6995,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.667,True,,,0.6994,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.661,True,,,0.6984,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.68,True,,,0.6995,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.661,True,,,0.681,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.641,True,,,0.6992,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.638,True,,,0.6996,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.602,True,,,0.6893,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.613,True,,,0.697,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.441,True,,,0.6996,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.446,True,,,0.6996,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.439,True,,,0.699,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.489,True,,,0.6987,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.441,True,,,0.6995,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.437,True,,,0.6996,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.447,True,,,0.6993,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.434,True,,,0.6996,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.431,True,,,0.6977,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.446,True,,,0.6974,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.445,True,,,0.6993,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.447,True,,,0.6564,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.437,True,,,0.6993,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.438,True,,,0.6995,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.437,True,,,0.6993,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.455,True,,,0.6995,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.44,True,,,0.5448,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.438,True,,,0.6995,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.445,True,,,0.6996,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.448,True,,,0.6996,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.448,True,,,0.6993,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.505,True,,,0.6995,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.432,True,,,0.6984,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.431,True,,,0.6995,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.44,True,,,0.6694,,4,,,
,voice_pitch_shift,Voice pitch shifted to match target,,0.43,False,0.9443082824349679,,0.1983,-0.9920420490231647,,,124.3360155894228,
,voice_pitch_shift,Voice pitch shifted to match target,,0.436,False,0.9953717840254734,,0.2871,-0.08031124339601625,,,124.3360155894228,
,voice_pitch_shift,Voice pitch shifted to match target,,0.437,False,1.0905510610752853,,0.0475,1.5006878459118749,,,124.3360155894228,
