fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6903,and,keystroke_replay,1.0,True,voice_replay,0.6903
0.696,and,keystroke_replay,1.0,True,voice_replay,0.696
0.6929,and,keystroke_replay,1.0,True,voice_replay,0.6929
0.6969,and,keystroke_replay,1.0,True,voice_replay,0.6969
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6912,and,keystroke_replay,1.0,True,voice_replay,0.6912
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6969,and,keystroke_replay,1.0,True,voice_replay,0.6969
0.6912,and,keystroke_replay,1.0,True,voice_replay,0.6912
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6928,and,keystroke_replay,1.0,True,voice_replay,0.6928
0.6872,and,keystroke_replay,1.0,True,voice_replay,0.6872
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6766,and,keystroke_replay,1.0,True,voice_replay,0.6766
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6822,and,keystroke_replay,1.0,True,voice_replay,0.6822
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6945,and,keystroke_replay,1.0,True,voice_replay,0.6945
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6927,and,keystroke_replay,1.0,True,voice_replay,0.6927
0.6894,and,keystroke_replay,1.0,True,voice_replay,0.6894
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6948,and,keystroke_replay,1.0,True,voice_replay,0.6948
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6963,and,keystroke_replay,1.0,True,voice_replay,0.6963
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6972,and,keystroke_replay,1.0,True,voice_replay,0.6972
0.6023,and,keystroke_replay,1.0,True,voice_replay,0.6023
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6961,and,keystroke_replay,1.0,True,voice_replay,0.6961
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6952,and,keystroke_replay,1.0,True,voice_replay,0.6952
