achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.741,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.556,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.499,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.472,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.454,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.455,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.457,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.466,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.459,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.451,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.441,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.454,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.446,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.447,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.443,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.448,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.442,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.454,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.443,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.449,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.968,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.222,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.54,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,10.18,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,3.704,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,27.254,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.383,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.171,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.764,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.126,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.553,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.124,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.951,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.947,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.922,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.945,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.892,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.929,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.892,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.909,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.936,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.01,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.216,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.855,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.754,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.766,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.677,False,,,0.2875,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.645,False,,,0.261,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.645,False,,,0.1889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.799,False,,,0.2875,,1,,,
