fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6963,and,keystroke_replay,1.0,True,voice_replay,0.6963
0.695,and,keystroke_replay,1.0,True,voice_replay,0.695
0.6946,and,keystroke_replay,1.0,True,voice_replay,0.6946
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6927,and,keystroke_replay,1.0,True,voice_replay,0.6927
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6965,and,keystroke_replay,1.0,True,voice_replay,0.6965
0.6942,and,keystroke_replay,1.0,True,voice_replay,0.6942
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6941,and,keystroke_replay,1.0,True,voice_replay,0.6941
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6951,and,keystroke_replay,1.0,True,voice_replay,0.6951
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6951,and,keystroke_replay,1.0,True,voice_replay,0.6951
0.6972,and,keystroke_replay,1.0,True,voice_replay,0.6972
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.696,and,keystroke_replay,1.0,True,voice_replay,0.696
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6971,and,keystroke_replay,1.0,True,voice_replay,0.6971
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6901,and,keystroke_replay,1.0,True,voice_replay,0.6901
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6966,and,keystroke_replay,1.0,True,voice_replay,0.6966
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
