achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.419,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.982,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.895,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.884,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.879,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.84,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.844,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.928,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.289,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.828,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.723,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,3.733,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,3.237,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.238,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.656,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.916,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.775,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.119,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.485,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.598,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.89,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.22,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.651,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.602,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.6,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.75,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.606,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.577,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.588,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.573,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.562,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.576,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.244,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.623,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.606,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.594,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.572,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.588,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.585,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,False,,,0.2522,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.564,False,,,0.2375,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.572,False,,,0.2889,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.586,False,,,0.2522,,1,,,
