fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6938,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6938
0.5166,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5166
0.6898,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6898
0.6853,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6853
0.6941,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6941
0.5718,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5718
0.654,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.654
0.6943,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6943
0.6799,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6799
0.6963,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6963
0.689,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.689
0.6665,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6665
0.6777,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6777
0.6954,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6954
0.5755,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5755
0.6941,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6941
0.6581,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6581
0.6487,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6487
0.6541,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6541
0.6319,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6319
0.691,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.691
0.6918,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6918
0.6952,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6952
0.6977,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6977
0.6924,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6924
0.6853,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6853
0.4715,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4715
0.6953,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6953
0.6676,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6676
0.6966,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6966
0.6961,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6961
0.6945,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6945
0.6408,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6408
0.6622,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6622
0.696,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.696
0.6925,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6925
0.6936,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6936
0.6836,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6836
0.6884,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6884
0.6705,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6705
0.6728,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6728
0.6929,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6929
0.6657,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6657
0.6911,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6911
0.6782,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6782
0.6937,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6937
0.6974,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6974
0.6683,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6683
0.6432,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6432
0.6885,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6885
0.6946,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6946
0.6823,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6823
0.6703,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6703
0.6973,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6973
0.6933,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6933
0.6993,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6993
0.6651,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6651
0.5415,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5415
0.6798,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6798
0.6818,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6818
0.5909,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5909
0.6958,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6958
0.6935,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6935
