fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6949,and,keystroke_replay,1.0,True,voice_replay,0.6949
0.6867,and,keystroke_replay,1.0,True,voice_replay,0.6867
0.6952,and,keystroke_replay,1.0,True,voice_replay,0.6952
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6972,and,keystroke_replay,1.0,True,voice_replay,0.6972
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6921,and,keystroke_replay,1.0,True,voice_replay,0.6921
0.6944,and,keystroke_replay,1.0,True,voice_replay,0.6944
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6954,and,keystroke_replay,1.0,True,voice_replay,0.6954
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6951,and,keystroke_replay,1.0,True,voice_replay,0.6951
0.6969,and,keystroke_replay,1.0,True,voice_replay,0.6969
0.6959,and,keystroke_replay,1.0,True,voice_replay,0.6959
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6946,and,keystroke_replay,1.0,True,voice_replay,0.6946
0.6965,and,keystroke_replay,1.0,True,voice_replay,0.6965
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.6971,and,keystroke_replay,1.0,True,voice_replay,0.6971
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6943,and,keystroke_replay,1.0,True,voice_replay,0.6943
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6948,and,keystroke_replay,1.0,True,voice_replay,0.6948
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6932,and,keystroke_replay,1.0,True,voice_replay,0.6932
0.6822,and,keystroke_replay,1.0,True,voice_replay,0.6822
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6835,and,keystroke_replay,1.0,True,voice_replay,0.6835
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6829,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6829
0.504,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.504
0.6645,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6645
0.6562,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6562
0.6638,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6638
0.6131,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6131
0.6458,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6458
0.6767,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6767
0.6812,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6812
0.6316,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6316
0.682,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.682
0.6637,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6637
0.6665,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6665
0.6876,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6876
0.6115,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6115
0.6847,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6847
0.6625,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6625
0.6728,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6728
0.5656,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5656
0.6687,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6687
0.6815,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6815
