achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.973,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.645,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.925,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.593,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.583,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.575,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.559,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.551,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.56,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.559,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.554,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.556,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.555,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.572,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.715,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.211,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.166,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.053,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.753,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.548,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.819,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.726,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.668,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.656,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.667,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.676,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.75,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.899,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.463,False,,,0.2885,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.254,False,,,0.2523,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.735,False,,,0.2728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.596,False,,,0.2885,,1,,,
