fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6959,and,keystroke_replay,1.0,True,voice_replay,0.6959
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6863,and,keystroke_replay,1.0,True,voice_replay,0.6863
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.6965,and,keystroke_replay,1.0,True,voice_replay,0.6965
0.6963,and,keystroke_replay,1.0,True,voice_replay,0.6963
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6941,and,keystroke_replay,1.0,True,voice_replay,0.6941
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6902,and,keystroke_replay,1.0,True,voice_replay,0.6902
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6954,and,keystroke_replay,1.0,True,voice_replay,0.6954
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6941,and,keystroke_replay,1.0,True,voice_replay,0.6941
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6826,and,keystroke_replay,1.0,True,voice_replay,0.6826
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6912,and,keystroke_replay,1.0,True,voice_replay,0.6912
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6817,and,keystroke_replay,1.0,True,voice_replay,0.6817
0.6966,and,keystroke_replay,1.0,True,voice_replay,0.6966
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6951,and,keystroke_replay,1.0,True,voice_replay,0.6951
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6928,and,keystroke_replay,1.0,True,voice_replay,0.6928
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6936,and,keystroke_replay,1.0,True,voice_replay,0.6936
0.6934,and,keystroke_replay,1.0,True,voice_replay,0.6934
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6416,and,keystroke_synthetic_variation,0.944,True,voice_synthetic,0.6416
0.6281,and,keystroke_synthetic_variation,0.94,True,voice_synthetic,0.6281
0.6487,and,keystroke_synthetic_variation,0.9807,True,voice_synthetic,0.6487
0.6605,and,keystroke_synthetic_variation,0.9763,True,voice_synthetic,0.6605
0.6769,and,keystroke_synthetic_variation,0.9667,True,voice_synthetic,0.6769
0.6321,and,keystroke_synthetic_variation,0.9787,True,voice_synthetic,0.6321
0.6654,and,keystroke_synthetic_variation,0.9647,True,voice_synthetic,0.6654
0.6651,and,keystroke_synthetic_variation,0.9747,True,voice_synthetic,0.6651
0.6805,and,keystroke_synthetic_variation,0.98,True,voice_synthetic,0.6805
0.652,and,keystroke_synthetic_variation,0.9807,True,voice_synthetic,0.652
0.6927,and,keystroke_synthetic_variation,0.978,True,voice_synthetic,0.6927
0.6791,and,keystroke_synthetic_variation,0.974,True,voice_synthetic,0.6791
0.675,and,keystroke_synthetic_variation,0.98,True,voice_synthetic,0.675
0.6614,and,keystroke_synthetic_variation,0.94,True,voice_synthetic,0.6614
0.601,and,keystroke_synthetic_variation,0.9416,True,voice_synthetic,0.601
0.669,and,keystroke_synthetic_variation,0.9827,True,voice_synthetic,0.669
0.633,and,keystroke_synthetic_variation,0.9787,True,voice_synthetic,0.633
0.6288,and,keystroke_synthetic_variation,0.97,True,voice_synthetic,0.6288
0.6263,and,keystroke_synthetic_variation,0.9748,True,voice_synthetic,0.6263
0.6238,and,keystroke_synthetic_variation,0.97,True,voice_synthetic,0.6238
0.6822,and,keystroke_synthetic_variation,0.978,True,voice_synthetic,0.6822
0.6674,and,keystroke_synthetic_variation,0.971,True,voice_synthetic,0.6674
0.668,and,keystroke_synthetic_variation,0.9763,True,voice_synthetic,0.668
0.672,and,keystroke_synthetic_variation,0.9568,True,voice_synthetic,0.672
0.6953,and,keystroke_synthetic_variation,0.9807,True,voice_synthetic,0.6953
0.6651,and,keystroke_synthetic_variation,0.9667,True,voice_synthetic,0.6651
0.5963,and,keystroke_synthetic_variation,0.98,True,voice_synthetic,0.5963
0.6655,and,keystroke_synthetic_variation,0.98,True,voice_synthetic,0.6655
0.6592,and,keystroke_synthetic_variation,0.976,True,voice_synthetic,0.6592
0.6622,and,keystroke_synthetic_variation,0.982,True,voice_synthetic,0.6622
0.69,and,keystroke_synthetic_variation,0.9707,True,voice_synthetic,0.69
0.6569,and,keystroke_synthetic_variation,0.979,True,voice_synthetic,0.6569
0.6546,and,keystroke_synthetic_variation,0.9767,True,voice_synthetic,0.6546
0.6443,and,keystroke_synthetic_variation,0.9807,True,voice_synthetic,0.6443
0.6726,and,keystroke_synthetic_variation,0.976,True,voice_synthetic,0.6726
0.682,and,keystroke_synthetic_variation,0.978,True,voice_synthetic,0.682
0.6705,and,keystroke_synthetic_variation,0.98,True,voice_synthetic,0.6705
0.6411,and,keystroke_synthetic_variation,0.9747,True,voice_synthetic,0.6411
0.6642,and,keystroke_synthetic_variation,0.974,True,voice_synthetic,0.6642
0.6309,and,keystroke_synthetic_variation,0.9688,True,voice_synthetic,0.6309
0.6688,and,keystroke_synthetic_variation,0.98,True,voice_synthetic,0.6688
0.6691,and,keystroke_synthetic_variation,0.976,True,voice_synthetic,0.6691
0.6033,and,keystroke_synthetic_variation,0.94,True,voice_synthetic,0.6033
0.6783,and,keystroke_synthetic_variation,0.9807,True,voice_synthetic,0.6783
0.6908,and,keystroke_synthetic_variation,0.976,True,voice_synthetic,0.6908
0.6841,and,keystroke_synthetic_variation,0.9787,True,voice_synthetic,0.6841
0.6697,and,keystroke_synthetic_variation,0.976,True,voice_synthetic,0.6697
0.6823,and,keystroke_synthetic_variation,0.9607,True,voice_synthetic,0.6823
0.6335,and,keystroke_synthetic_variation,0.9647,True,voice_synthetic,0.6335
0.6936,and,keystroke_synthetic_variation,0.9827,True,voice_synthetic,0.6936
0.6714,and,keystroke_synthetic_variation,0.98,True,voice_synthetic,0.6714
0.6771,and,keystroke_synthetic_variation,0.9807,True,voice_synthetic,0.6771
