fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6955,and,keystroke_replay,1.0,True,voice_replay,0.6955
0.6749,and,keystroke_replay,1.0,True,voice_replay,0.6749
0.695,and,keystroke_replay,1.0,True,voice_replay,0.695
0.6903,and,keystroke_replay,1.0,True,voice_replay,0.6903
0.6946,and,keystroke_replay,1.0,True,voice_replay,0.6946
0.6652,and,keystroke_replay,1.0,True,voice_replay,0.6652
0.6664,and,keystroke_replay,1.0,True,voice_replay,0.6664
0.6672,and,keystroke_replay,1.0,True,voice_replay,0.6672
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6801,and,keystroke_replay,1.0,True,voice_replay,0.6801
0.6878,and,keystroke_replay,1.0,True,voice_replay,0.6878
0.6906,and,keystroke_replay,1.0,True,voice_replay,0.6906
0.694,and,keystroke_replay,1.0,True,voice_replay,0.694
0.691,and,keystroke_replay,1.0,True,voice_replay,0.691
0.6824,and,keystroke_replay,1.0,True,voice_replay,0.6824
0.6914,and,keystroke_replay,1.0,True,voice_replay,0.6914
0.6653,and,keystroke_replay,1.0,True,voice_replay,0.6653
0.6562,and,keystroke_replay,1.0,True,voice_replay,0.6562
0.6933,and,keystroke_replay,1.0,True,voice_replay,0.6933
0.6961,and,keystroke_replay,1.0,True,voice_replay,0.6961
0.6623,and,keystroke_replay,1.0,True,voice_replay,0.6623
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6878,and,keystroke_replay,1.0,True,voice_replay,0.6878
0.6775,and,keystroke_replay,1.0,True,voice_replay,0.6775
0.6864,and,keystroke_replay,1.0,True,voice_replay,0.6864
0.6761,and,keystroke_replay,1.0,True,voice_replay,0.6761
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.6839,and,keystroke_replay,1.0,True,voice_replay,0.6839
0.6879,and,keystroke_replay,1.0,True,voice_replay,0.6879
0.6738,and,keystroke_replay,1.0,True,voice_replay,0.6738
0.6869,and,keystroke_replay,1.0,True,voice_replay,0.6869
0.6759,and,keystroke_replay,1.0,True,voice_replay,0.6759
0.6939,and,keystroke_replay,1.0,True,voice_replay,0.6939
0.6903,and,keystroke_replay,1.0,True,voice_replay,0.6903
