fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6946,and,keystroke_replay,1.0,True,voice_replay,0.6946
0.6554,and,keystroke_replay,1.0,True,voice_replay,0.6554
0.6912,and,keystroke_replay,1.0,True,voice_replay,0.6912
0.6929,and,keystroke_replay,1.0,True,voice_replay,0.6929
0.6935,and,keystroke_replay,1.0,True,voice_replay,0.6935
0.6565,and,keystroke_replay,1.0,True,voice_replay,0.6565
0.6655,and,keystroke_replay,1.0,True,voice_replay,0.6655
0.6731,and,keystroke_replay,1.0,True,voice_replay,0.6731
0.691,and,keystroke_replay,1.0,True,voice_replay,0.691
0.6741,and,keystroke_replay,1.0,True,voice_replay,0.6741
0.6735,and,keystroke_replay,1.0,True,voice_replay,0.6735
0.6901,and,keystroke_replay,1.0,True,voice_replay,0.6901
0.6932,and,keystroke_replay,1.0,True,voice_replay,0.6932
0.686,and,keystroke_replay,1.0,True,voice_replay,0.686
0.6862,and,keystroke_replay,1.0,True,voice_replay,0.6862
0.6932,and,keystroke_replay,1.0,True,voice_replay,0.6932
0.6746,and,keystroke_replay,1.0,True,voice_replay,0.6746
0.6691,and,keystroke_replay,1.0,True,voice_replay,0.6691
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6712,and,keystroke_replay,1.0,True,voice_replay,0.6712
0.6929,and,keystroke_replay,1.0,True,voice_replay,0.6929
0.6851,and,keystroke_replay,1.0,True,voice_replay,0.6851
0.6589,and,keystroke_replay,1.0,True,voice_replay,0.6589
0.6822,and,keystroke_replay,1.0,True,voice_replay,0.6822
0.6864,and,keystroke_replay,1.0,True,voice_replay,0.6864
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.6772,and,keystroke_replay,1.0,True,voice_replay,0.6772
0.6846,and,keystroke_replay,1.0,True,voice_replay,0.6846
0.6666,and,keystroke_replay,1.0,True,voice_replay,0.6666
0.6862,and,keystroke_replay,1.0,True,voice_replay,0.6862
0.6702,and,keystroke_replay,1.0,True,voice_replay,0.6702
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6915,and,keystroke_replay,1.0,True,voice_replay,0.6915
0.6881,and,keystroke_replay,1.0,True,voice_replay,0.6881
0.696,and,keystroke_replay,1.0,True,voice_replay,0.696
0.6919,and,keystroke_replay,1.0,True,voice_replay,0.6919
0.6942,and,keystroke_replay,1.0,True,voice_replay,0.6942
0.6778,and,keystroke_replay,1.0,True,voice_replay,0.6778
0.6954,and,keystroke_replay,1.0,True,voice_replay,0.6954
0.6824,and,keystroke_replay,1.0,True,voice_replay,0.6824
0.6906,and,keystroke_replay,1.0,True,voice_replay,0.6906
0.6941,and,keystroke_replay,1.0,True,voice_replay,0.6941
0.6963,and,keystroke_replay,1.0,True,voice_replay,0.6963
