fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6998,and,keystroke_replay,1.0,True,voice_replay,0.6998
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6998,and,keystroke_replay,1.0,True,voice_replay,0.6998
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6998,and,keystroke_replay,1.0,True,voice_replay,0.6998
0.6998,and,keystroke_replay,1.0,True,voice_replay,0.6998
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
0.6997,and,keystroke_replay,1.0,True,voice_replay,0.6997
