achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.962,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.661,True,,,0.9528,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.614,True,,,0.9156,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.607,True,,,0.8758,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.8121,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.585,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.578,True,,,0.9528,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.561,True,,,0.9156,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.562,True,,,0.8758,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.588,True,,,0.8121,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.578,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.565,True,,,0.9528,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.595,True,,,0.9156,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.572,True,,,0.8758,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.605,True,,,0.8121,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.559,True,,,0.9528,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.551,True,,,0.9156,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.549,True,,,0.8758,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.8121,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.559,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,True,,,0.9528,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.554,True,,,0.9156,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,True,,,0.8758,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.561,True,,,0.8121,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.561,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.571,True,,,0.9528,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.561,True,,,0.9156,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.556,True,,,0.8758,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.564,True,,,0.8121,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.565,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,True,,,0.9528,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.799,True,,,0.9156,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.136,True,,,0.8758,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.014,True,,,0.8121,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.159,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.874,True,,,0.9528,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.524,True,,,0.9156,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.03,True,,,0.8758,,3,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.747,True,,,0.8121,,4,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.078,True,,,0.9302,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.63,True,,,0.9528,,1,,,
