fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.6789,and,keystroke_replay,1.0,True,voice_replay,0.6789
0.694,and,keystroke_replay,1.0,True,voice_replay,0.694
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.677,and,keystroke_replay,1.0,True,voice_replay,0.677
0.6809,and,keystroke_replay,1.0,True,voice_replay,0.6809
0.6867,and,keystroke_replay,1.0,True,voice_replay,0.6867
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6779,and,keystroke_replay,1.0,True,voice_replay,0.6779
0.6878,and,keystroke_replay,1.0,True,voice_replay,0.6878
0.6896,and,keystroke_replay,1.0,True,voice_replay,0.6896
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6943,and,keystroke_replay,1.0,True,voice_replay,0.6943
0.69,and,keystroke_replay,1.0,True,voice_replay,0.69
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6808,and,keystroke_replay,1.0,True,voice_replay,0.6808
0.6769,and,keystroke_replay,1.0,True,voice_replay,0.6769
0.6969,and,keystroke_replay,1.0,True,voice_replay,0.6969
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6605,and,keystroke_replay,1.0,True,voice_replay,0.6605
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.6955,and,keystroke_replay,1.0,True,voice_replay,0.6955
0.6804,and,keystroke_replay,1.0,True,voice_replay,0.6804
0.694,and,keystroke_replay,1.0,True,voice_replay,0.694
0.6889,and,keystroke_replay,1.0,True,voice_replay,0.6889
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6877,and,keystroke_replay,1.0,True,voice_replay,0.6877
0.6835,and,keystroke_replay,1.0,True,voice_replay,0.6835
0.6719,and,keystroke_replay,1.0,True,voice_replay,0.6719
0.692,and,keystroke_replay,1.0,True,voice_replay,0.692
0.6923,and,keystroke_replay,1.0,True,voice_replay,0.6923
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6951,and,keystroke_replay,1.0,True,voice_replay,0.6951
0.694,and,keystroke_replay,1.0,True,voice_replay,0.694
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6934,and,keystroke_replay,1.0,True,voice_replay,0.6934
0.6903,and,keystroke_replay,1.0,True,voice_replay,0.6903
0.6872,and,keystroke_replay,1.0,True,voice_replay,0.6872
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6935,and,keystroke_replay,1.0,True,voice_replay,0.6935
0.6966,and,keystroke_replay,1.0,True,voice_replay,0.6966
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6972,and,keystroke_replay,1.0,True,voice_replay,0.6972
0.6914,and,keystroke_replay,1.0,True,voice_replay,0.6914
0.6923,and,keystroke_replay,1.0,True,voice_replay,0.6923
0.6035,and,keystroke_replay,1.0,True,voice_replay,0.6035
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6887,and,keystroke_replay,1.0,True,voice_replay,0.6887
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6553,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6553
0.6901,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6901
0.6581,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6581
0.6717,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6717
0.6724,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6724
0.6683,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6683
0.6914,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6914
0.6829,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6829
0.6498,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6498
0.6829,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6829
0.6584,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6584
0.6734,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6734
0.6734,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6734
0.6528,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6528
0.6683,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6683
0.6405,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6405
0.6514,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6514
0.6331,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6331
0.6837,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6837
0.6343,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6343
0.6542,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6542
0.6371,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6371
0.6829,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6829
0.6686,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6686
0.6572,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6572
0.6455,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6455
0.6817,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6817
0.6551,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6551
0.684,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.684
0.6547,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6547
0.6677,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6677
0.6539,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6539
0.6909,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6909
0.6827,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6827
0.6567,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6567
0.6418,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6418
0.6676,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6676
0.6589,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6589
0.6847,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6847
0.684,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.684
0.6916,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6916
0.683,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.683
0.6587,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6587
0.6719,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6719
0.6852,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6852
0.6917,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6917
0.6451,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6451
0.6916,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6916
0.6846,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6846
0.6639,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6639
0.6517,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6517
0.684,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.684
0.6831,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6831
0.6682,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6682
0.6584,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6584
0.681,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.681
0.6522,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6522
0.6807,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6807
0.6813,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6813
0.6669,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6669
0.683,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.683
0.6821,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6821
0.6808,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6808
0.691,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.691
0.6671,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6671
0.6675,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6675
0.6821,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6821
0.6814,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6814
0.6808,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6808
0.6906,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6906
0.6912,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6912
0.6523,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6523
0.6541,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6541
0.6692,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6692
0.6823,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6823
0.6686,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6686
0.6712,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6712
0.6809,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6809
0.6813,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6813
0.691,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.691
0.651,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.651
0.6731,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6731
0.6844,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6844
0.6904,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6904
0.6692,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6692
0.6531,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6531
0.6821,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6821
0.6809,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6809
0.6822,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6822
0.6813,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6813
0.6831,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6831
0.6801,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6801
0.6827,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6827
0.6531,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6531
0.6913,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6913
0.6553,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6553
0.6522,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6522
0.6809,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6809
0.6559,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6559
0.6906,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6906
0.0,and,keystroke_replay,0.9822,False,voice_replay,0.0
0.0001,and,keystroke_replay,0.988,False,voice_replay,0.0001
0.0001,and,keystroke_replay,0.98,False,voice_replay,0.0001
0.0002,and,keystroke_replay,0.9929,False,voice_replay,0.0002
0.0008,and,keystroke_replay,0.9843,False,voice_replay,0.0008
0.0001,and,keystroke_replay,0.9818,False,voice_replay,0.0001
0.0001,and,keystroke_replay,0.977,False,voice_replay,0.0001
0.0002,and,keystroke_replay,0.9768,False,voice_replay,0.0002
0.0001,and,keystroke_replay,0.9784,False,voice_replay,0.0001
0.0001,and,keystroke_replay,0.9794,False,voice_replay,0.0001
0.0001,and,keystroke_replay,0.9781,False,voice_replay,0.0001
0.0002,and,keystroke_replay,0.9802,False,voice_replay,0.0002
0.0001,and,keystroke_replay,0.9857,False,voice_replay,0.0001
0.0001,and,keystroke_replay,0.9853,False,voice_replay,0.0001
0.0001,and,keystroke_replay,0.9732,False,voice_replay,0.0001
0.0002,and,keystroke_replay,0.9732,False,voice_replay,0.0002
0.0003,and,keystroke_replay,0.9632,False,voice_replay,0.0003
0.0002,and,keystroke_replay,0.9649,False,voice_replay,0.0002
0.0001,and,keystroke_replay,0.9701,False,voice_replay,0.0001
0.0007,and,keystroke_replay,0.9811,False,voice_replay,0.0007
0.0003,and,keystroke_replay,0.979,False,voice_replay,0.0003
0.0001,and,keystroke_replay,0.979,False,voice_replay,0.0001
0.0002,and,keystroke_replay,0.9758,False,voice_replay,0.0002
0.0009,and,keystroke_replay,0.979,False,voice_replay,0.0009
0.0003,and,keystroke_replay,0.9781,False,voice_replay,0.0003
0.0001,and,keystroke_replay,0.979,False,voice_replay,0.0001
0.0002,and,keystroke_replay,0.9834,False,voice_replay,0.0002
