fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.694,and,keystroke_replay,1.0,True,voice_replay,0.694
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.691,and,keystroke_replay,1.0,True,voice_replay,0.691
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6954,and,keystroke_replay,1.0,True,voice_replay,0.6954
0.6963,and,keystroke_replay,1.0,True,voice_replay,0.6963
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.696,and,keystroke_replay,1.0,True,voice_replay,0.696
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6931,and,keystroke_replay,1.0,True,voice_replay,0.6931
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6949,and,keystroke_replay,1.0,True,voice_replay,0.6949
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6968,and,keystroke_replay,1.0,True,voice_replay,0.6968
0.6971,and,keystroke_replay,1.0,True,voice_replay,0.6971
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6903,and,keystroke_replay,1.0,True,voice_replay,0.6903
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6955,and,keystroke_replay,1.0,True,voice_replay,0.6955
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.296,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.296
0.5677,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5677
0.3313,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3313
0.4604,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4604
0.3517,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3517
0.4643,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4643
0.5195,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5195
0.3865,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3865
0.3025,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3025
0.2566,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2566
0.4166,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4166
0.2784,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2784
0.4367,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4367
0.3321,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3321
0.6617,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6617
0.2994,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2994
0.6008,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6008
0.3216,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3216
0.2935,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2935
0.2737,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2737
0.3616,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3616
0.3022,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3022
0.4378,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4378
0.3065,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3065
0.3496,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3496
0.3053,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3053
0.4455,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4455
0.347,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.347
0.3193,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3193
0.283,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.283
0.372,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.372
0.411,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.411
0.6831,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6831
0.4345,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4345
0.3107,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3107
0.3608,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3608
0.2724,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2724
0.2511,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2511
0.3195,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3195
0.4956,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4956
0.5041,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5041
0.2589,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2589
0.2545,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2545
0.4506,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4506
0.4915,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4915
0.5229,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5229
0.3781,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3781
0.4303,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4303
0.2814,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2814
0.4397,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4397
0.2928,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2928
0.4647,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4647
0.4882,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4882
0.3439,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3439
0.2841,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2841
0.2695,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2695
0.5948,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5948
0.6683,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6683
0.4703,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4703
0.6099,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6099
0.6703,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6703
0.3002,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3002
0.2589,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2589
0.2758,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2758
0.363,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.363
0.3226,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3226
0.4612,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4612
0.6644,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6644
0.2651,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2651
0.5302,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5302
0.3539,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3539
0.2596,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2596
