achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.95,False,,,0.2497,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.672,True,,,0.3765,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.608,True,,,0.46,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.584,False,,,0.2497,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.572,True,,,0.3765,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,True,,,0.46,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.585,False,,,0.2497,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.576,True,,,0.3765,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.582,True,,,0.46,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.582,False,,,0.2497,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,True,,,0.3765,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.571,True,,,0.46,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,False,,,0.2497,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.59,True,,,0.3765,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.075,True,,,0.46,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.016,False,,,0.2497,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.924,True,,,0.3765,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.774,True,,,0.46,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.816,False,,,0.2497,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.915,True,,,0.3765,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.959,True,,,0.46,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.634,False,,,0.2497,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.584,True,,,0.3765,,1,,,
