attack_type,blend_ratio,description,jitter_pct,latency_ms,noise_pct,passed,score,source_idx,targeted_feats
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.181,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.672,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.588,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.584,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.567,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.573,,True,1.0,5,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.557,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.555,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.56,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.554,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.604,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.543,,True,1.0,5,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.546,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.542,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.558,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.583,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.54,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.538,,True,1.0,5,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.549,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.594,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.599,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.553,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.544,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.538,,True,1.0,5,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.541,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.778,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.333,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.338,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.846,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,3.283,,True,1.0,5,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.768,,True,1.0,0,
