fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6913,and,keystroke_replay,1.0,True,voice_replay,0.6913
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6932,and,keystroke_replay,1.0,True,voice_replay,0.6932
0.694,and,keystroke_replay,1.0,True,voice_replay,0.694
0.6931,and,keystroke_replay,1.0,True,voice_replay,0.6931
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6917,and,keystroke_replay,1.0,True,voice_replay,0.6917
0.6966,and,keystroke_replay,1.0,True,voice_replay,0.6966
0.6968,and,keystroke_replay,1.0,True,voice_replay,0.6968
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.696,and,keystroke_replay,1.0,True,voice_replay,0.696
0.6968,and,keystroke_replay,1.0,True,voice_replay,0.6968
0.6892,and,keystroke_replay,1.0,True,voice_replay,0.6892
0.6896,and,keystroke_replay,1.0,True,voice_replay,0.6896
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6855,and,keystroke_replay,1.0,True,voice_replay,0.6855
0.6966,and,keystroke_replay,1.0,True,voice_replay,0.6966
0.6965,and,keystroke_replay,1.0,True,voice_replay,0.6965
0.6921,and,keystroke_replay,1.0,True,voice_replay,0.6921
0.6975,and,keystroke_replay,1.0,True,voice_replay,0.6975
0.6921,and,keystroke_replay,1.0,True,voice_replay,0.6921
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6894,and,keystroke_replay,1.0,True,voice_replay,0.6894
0.6965,and,keystroke_replay,1.0,True,voice_replay,0.6965
0.6921,and,keystroke_replay,1.0,True,voice_replay,0.6921
0.6939,and,keystroke_replay,1.0,True,voice_replay,0.6939
0.6908,and,keystroke_replay,1.0,True,voice_replay,0.6908
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6864,and,keystroke_replay,1.0,True,voice_replay,0.6864
0.6973,and,keystroke_replay,1.0,True,voice_replay,0.6973
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6969,and,keystroke_replay,1.0,True,voice_replay,0.6969
0.6915,and,keystroke_replay,1.0,True,voice_replay,0.6915
0.6461,and,keystroke_replay,1.0,True,voice_replay,0.6461
0.6972,and,keystroke_replay,1.0,True,voice_replay,0.6972
0.6917,and,keystroke_replay,1.0,True,voice_replay,0.6917
0.6966,and,keystroke_replay,1.0,True,voice_replay,0.6966
0.6466,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6466
0.6877,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6877
0.6457,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6457
0.6747,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6747
0.6458,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6458
0.6799,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6799
0.6816,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6816
0.6836,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6836
0.6217,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6217
0.6465,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6465
0.6271,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6271
0.6191,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6191
0.6724,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6724
0.6466,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6466
0.6688,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6688
0.6151,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6151
0.6546,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6546
0.6404,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6404
0.642,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.642
0.6501,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6501
0.6268,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6268
