achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.898,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.741,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.626,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.642,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.573,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.565,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.556,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.581,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.56,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.567,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.93,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.579,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.281,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,3.23,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.608,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.11,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.08,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.478,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.165,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.757,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.708,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.641,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.646,True,,,0.9764,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.625,True,,,0.9764,,0,,,
