attack_type,blend_ratio,description,jitter_pct,latency_ms,noise_pct,passed,score,source_idx,targeted_feats
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.963,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.64,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.612,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.584,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.569,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.575,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.451,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.24,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,2.824,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,4.415,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,2.16,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,2.052,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.722,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.575,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.566,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.657,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.592,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,1.006,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.944,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.882,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.742,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.658,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.647,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.676,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.704,,True,1.0,4,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.818,,True,1.0,0,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.538,,True,1.0,1,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.443,,True,1.0,2,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.515,,True,1.0,3,
keystroke_replay,,Captured enrollment vector replayed verbatim,0.0,0.439,,True,1.0,4,
