fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9768,and,keystroke_replay,1.0,True,voice_replay,0.9768
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9769,and,keystroke_replay,1.0,True,voice_replay,0.9769
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9768,and,keystroke_replay,1.0,True,voice_replay,0.9768
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9766,and,keystroke_replay,1.0,True,voice_replay,0.9766
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.0018,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0018
0.0009,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0009
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.0017,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0017
0.0009,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0009
0.0013,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0013
0.0022,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0022
0.002,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.002
0.0022,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0022
0.0024,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0024
0.0017,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0017
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.0011,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0011
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.001,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.001
0.0014,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0014
0.0011,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0011
0.0014,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0014
0.0015,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0015
0.0013,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0013
0.0014,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0014
0.0022,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0022
0.0029,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0029
0.0021,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0021
0.0009,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0009
0.0012,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0012
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.0015,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0015
0.003,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.003
0.0014,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0014
0.0012,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0012
0.002,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.002
0.0019,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0019
0.0013,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0013
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.0018,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0018
0.0012,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0012
0.0013,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0013
0.0012,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0012
0.0017,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0017
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.0019,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0019
0.0033,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0033
0.0018,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0018
0.0023,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0023
0.0014,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0014
0.0013,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0013
0.0014,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0014
0.0048,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0048
0.002,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.002
0.0025,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0025
0.0099,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0099
0.0587,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0587
0.0066,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0066
0.0453,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0453
0.0016,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0016
0.0866,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0866
0.0044,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0044
0.0438,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0438
0.0715,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0715
0.0034,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0034
0.0041,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0041
0.0063,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0063
0.0029,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0029
0.0021,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0021
0.0067,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0067
0.0039,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0039
0.006,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.006
0.0059,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0059
0.0053,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0053
0.0023,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0023
0.0424,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0424
0.0033,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0033
0.0043,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0043
0.0596,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0596
0.0146,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0146
0.0361,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0361
0.0035,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0035
0.0078,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0078
0.0026,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0026
0.0064,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0064
0.0023,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0023
0.0059,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0059
0.0049,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0049
0.0371,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0371
0.0093,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0093
0.0037,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0037
0.0052,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0052
