achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.035,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.653,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.699,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.72,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.742,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.797,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.87,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.285,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.003,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,3.611,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.259,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.197,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.834,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.834,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.841,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.826,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.828,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.945,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.283,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.891,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.541,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.124,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.688,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.761,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.68,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.641,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.633,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.649,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.655,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.719,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.775,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.754,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.717,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.733,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.712,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.593,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.53,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.524,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.517,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.562,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.538,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.502,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.436,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.516,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.537,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.467,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.474,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.445,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.471,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.444,True,,,0.9763,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.472,True,,,0.9718,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.467,True,,,0.969,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.482,True,,,0.9724,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.444,True,,,0.9709,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.434,True,,,0.9734,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.445,True,,,0.9731,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.488,True,,,0.9721,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.472,True,,,0.9724,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.435,True,,,0.9721,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.476,True,,,0.9729,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.495,True,,,0.9683,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.518,True,,,0.9712,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.494,True,,,0.9703,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.44,True,,,0.9732,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.444,True,,,0.9701,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.45,True,,,0.9736,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.437,True,,,0.9734,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.437,True,,,0.9718,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.439,True,,,0.9704,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.447,True,,,0.9733,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.448,True,,,0.9714,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.442,True,,,0.9716,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.442,True,,,0.9715,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.452,True,,,0.9721,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.605,True,,,0.9722,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.562,True,,,0.9709,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.442,True,,,0.9722,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.465,True,,,0.9732,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.481,True,,,0.9713,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.436,True,,,0.9728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.433,True,,,0.9722,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.431,True,,,0.9715,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.45,True,,,0.9706,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.437,True,,,0.9725,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.432,True,,,0.9709,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.431,True,,,0.9718,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.444,True,,,0.9714,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.437,True,,,0.971,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.437,True,,,0.9728,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.435,True,,,0.9716,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.433,True,,,0.9716,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.451,True,,,0.9696,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.432,True,,,0.9716,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.446,True,,,0.9732,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.441,True,,,0.9705,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.451,True,,,0.9726,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.484,True,,,0.9735,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.562,True,,,0.973,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.514,True,,,0.9722,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.454,True,,,0.9691,,0,,,
,voice_pitch_shift,Voice pitch shifted to match target,,0.435,False,0.9443082824349679,,0.4358,-0.9920420490231647,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.43,False,0.9953717840254734,,0.4358,-0.08031124339601625,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.428,False,1.0905510610752853,,0.3862,1.5006878459118749,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.491,False,1.0238814664422633,,0.4358,0.40858447068508896,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.448,False,0.8655293400502292,,0.049,-2.500144433146505,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.436,False,1.1068239032176197,,0.3862,1.7571084739571274,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.433,False,1.0070165095578736,,0.4358,0.12104803007113762,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.445,False,1.0762456889924292,,0.3862,1.2720895053280126,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.445,False,0.947327187382221,,0.4358,-0.9367836701635017,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.449,False,1.1554555121142578,,0.3861,2.5015405627097254,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.498,False,1.0743452794926875,,0.3863,1.2414927573856662,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.435,False,1.0605180333825823,,0.4359,1.0172298374136712,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.49,False,1.0681900923522918,,0.4359,1.1420208979069777,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.438,False,1.0095490883161897,,0.4358,0.16453274376567073,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.452,False,1.0353549933562094,,0.4358,0.6015061326288151,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.454,False,1.097500541145537,,0.3862,1.610659813340341,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.434,False,1.1019103340710046,,0.3862,1.6800819843223227,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.443,False,0.9923125607544707,,0.4358,-0.13360175389651996,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.437,False,0.856055923833235,,0.049,-2.6906765735030485,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.438,False,0.8466937380889648,,0.049,-2.881054506667374,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.437,False,1.1411784239228309,,0.3861,2.2862925058405015,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.447,False,0.8976318670498026,,0.348,-1.8696504067179123,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.435,False,0.9326619728596188,,0.406,-1.2068855862026033,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.436,False,1.175297863069372,,0.386,2.7963172120136477,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.438,False,1.0644697313562352,,0.4359,1.0816191208104708,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.444,False,0.9463380459818757,,0.4358,-0.9548696063383812,,,420.440596306781,
,voice_pitch_shift,Voice pitch shifted to match target,,0.447,False,0.9347546518865172,,0.406,-1.168084189088671,,,420.440596306781,
