fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6979,and,keystroke_replay,1.0,True,voice_replay,0.6979
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6989,and,keystroke_replay,1.0,True,voice_replay,0.6989
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6988,and,keystroke_replay,1.0,True,voice_replay,0.6988
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6996,and,keystroke_replay,1.0,True,voice_replay,0.6996
0.6995,and,keystroke_replay,1.0,True,voice_replay,0.6995
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6993,and,keystroke_replay,1.0,True,voice_replay,0.6993
0.2255,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2255
0.0719,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0719
0.0832,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0832
0.2953,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2953
0.4549,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4549
0.1842,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1842
0.1277,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1277
0.0467,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0467
0.3343,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3343
0.2236,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2236
0.4519,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4519
0.4437,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4437
0.3096,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3096
0.1074,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1074
0.187,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.187
0.4513,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4513
0.5261,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5261
0.451,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.451
0.0428,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0428
0.3111,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3111
0.1065,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1065
0.4511,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4511
0.0442,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0442
0.0903,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0903
0.5787,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5787
0.4509,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4509
0.055,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.055
0.2424,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2424
0.1638,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1638
0.0787,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0787
0.1119,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1119
0.084,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.084
0.3311,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3311
0.0437,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0437
0.1084,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1084
0.3485,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3485
0.4521,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4521
0.0828,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0828
0.0442,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0442
0.0439,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0439
0.226,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.226
0.0836,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0836
0.152,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.152
0.3177,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3177
0.5742,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5742
0.0516,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0516
0.4518,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4518
0.235,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.235
0.0564,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0564
0.3459,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3459
0.2326,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2326
0.0809,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0809
0.1113,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1113
0.239,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.239
0.6131,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6131
0.2398,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2398
0.556,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.556
0.0855,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.0855
