fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6956,and,keystroke_replay,1.0,True,voice_replay,0.6956
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6926,and,keystroke_replay,1.0,True,voice_replay,0.6926
0.6959,and,keystroke_replay,1.0,True,voice_replay,0.6959
0.6934,and,keystroke_replay,1.0,True,voice_replay,0.6934
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6955,and,keystroke_replay,1.0,True,voice_replay,0.6955
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6955,and,keystroke_replay,1.0,True,voice_replay,0.6955
0.6992,and,keystroke_replay,1.0,True,voice_replay,0.6992
0.6936,and,keystroke_replay,1.0,True,voice_replay,0.6936
0.6936,and,keystroke_replay,1.0,True,voice_replay,0.6936
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6943,and,keystroke_replay,1.0,True,voice_replay,0.6943
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6987,and,keystroke_replay,1.0,True,voice_replay,0.6987
0.6819,and,keystroke_replay,1.0,True,voice_replay,0.6819
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6957,and,keystroke_replay,1.0,True,voice_replay,0.6957
0.6959,and,keystroke_replay,1.0,True,voice_replay,0.6959
0.6946,and,keystroke_replay,1.0,True,voice_replay,0.6946
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6954,and,keystroke_replay,1.0,True,voice_replay,0.6954
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.6907,and,keystroke_replay,1.0,True,voice_replay,0.6907
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6971,and,keystroke_replay,1.0,True,voice_replay,0.6971
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6969,and,keystroke_replay,1.0,True,voice_replay,0.6969
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6781,and,keystroke_replay,1.0,True,voice_replay,0.6781
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.3879,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3879
0.5985,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5985
0.4671,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4671
0.575,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.575
0.39,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.39
0.6636,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6636
0.5924,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5924
0.5683,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5683
