achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.895,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.654,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.602,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.573,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.564,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.578,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.564,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.56,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.564,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.575,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.558,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.713,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.688,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.211,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.945,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,2.928,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.126,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.61,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.585,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.582,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.565,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.556,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.56,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.566,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.559,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.553,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.109,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.327,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.564,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.589,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.619,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.655,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.178,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.716,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.699,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.677,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.744,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.933,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.495,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.45,False,,,0.235,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.436,False,,,0.2902,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.437,False,,,0.2454,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.448,True,,,0.6984,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.508,True,,,0.6992,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.929,True,,,0.6995,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.679,True,,,0.6992,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.607,True,,,0.6988,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.595,True,,,0.6889,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.573,True,,,0.6932,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.568,True,,,0.6975,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.572,True,,,0.6992,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.56,True,,,0.6993,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.569,True,,,0.6991,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.573,True,,,0.6988,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.568,True,,,0.6966,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.559,True,,,0.6978,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.56,True,,,0.6849,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.597,True,,,0.6992,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.603,True,,,0.6981,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.56,True,,,0.6939,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.567,True,,,0.699,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.563,True,,,0.6989,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.574,True,,,0.6961,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.563,True,,,0.6973,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.575,True,,,0.6993,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.561,True,,,0.6714,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.56,True,,,0.6989,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.576,True,,,0.6987,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.572,True,,,0.699,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.56,True,,,0.698,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.559,True,,,0.6887,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.917,True,,,0.6874,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,1.464,True,,,0.6996,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,1.11,True,,,0.6981,,1,,,
