fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.9756,and,keystroke_replay,1.0,True,voice_replay,0.9756
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.976,and,keystroke_replay,1.0,True,voice_replay,0.976
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9761,and,keystroke_replay,1.0,True,voice_replay,0.9761
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9759,and,keystroke_replay,1.0,True,voice_replay,0.9759
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.976,and,keystroke_replay,1.0,True,voice_replay,0.976
0.9757,and,keystroke_replay,1.0,True,voice_replay,0.9757
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.976,and,keystroke_replay,1.0,True,voice_replay,0.976
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9767,and,keystroke_replay,1.0,True,voice_replay,0.9767
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9757,and,keystroke_replay,1.0,True,voice_replay,0.9757
0.9761,and,keystroke_replay,1.0,True,voice_replay,0.9761
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.976,and,keystroke_replay,1.0,True,voice_replay,0.976
0.976,and,keystroke_replay,1.0,True,voice_replay,0.976
0.9761,and,keystroke_replay,1.0,True,voice_replay,0.9761
0.9756,and,keystroke_replay,1.0,True,voice_replay,0.9756
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9761,and,keystroke_replay,1.0,True,voice_replay,0.9761
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9761,and,keystroke_replay,1.0,True,voice_replay,0.9761
0.9761,and,keystroke_replay,1.0,True,voice_replay,0.9761
0.9751,and,keystroke_replay,1.0,True,voice_replay,0.9751
0.9759,and,keystroke_replay,1.0,True,voice_replay,0.9759
0.9761,and,keystroke_replay,1.0,True,voice_replay,0.9761
0.9764,and,keystroke_replay,1.0,True,voice_replay,0.9764
0.9763,and,keystroke_replay,1.0,True,voice_replay,0.9763
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.976,and,keystroke_replay,1.0,True,voice_replay,0.976
0.9756,and,keystroke_replay,1.0,True,voice_replay,0.9756
0.9765,and,keystroke_replay,1.0,True,voice_replay,0.9765
0.9762,and,keystroke_replay,1.0,True,voice_replay,0.9762
0.9761,and,keystroke_replay,1.0,True,voice_replay,0.9761
0.3137,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3137
0.6671,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6671
