fused_score,fusion_strategy,ks_attack_type,ks_score,passed,voice_attack_type,voice_score
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6971,and,keystroke_replay,1.0,True,voice_replay,0.6971
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.6964,and,keystroke_replay,1.0,True,voice_replay,0.6964
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6947,and,keystroke_replay,1.0,True,voice_replay,0.6947
0.6961,and,keystroke_replay,1.0,True,voice_replay,0.6961
0.6932,and,keystroke_replay,1.0,True,voice_replay,0.6932
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6965,and,keystroke_replay,1.0,True,voice_replay,0.6965
0.6967,and,keystroke_replay,1.0,True,voice_replay,0.6967
0.6977,and,keystroke_replay,1.0,True,voice_replay,0.6977
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6983,and,keystroke_replay,1.0,True,voice_replay,0.6983
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6958,and,keystroke_replay,1.0,True,voice_replay,0.6958
0.696,and,keystroke_replay,1.0,True,voice_replay,0.696
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6986,and,keystroke_replay,1.0,True,voice_replay,0.6986
0.6962,and,keystroke_replay,1.0,True,voice_replay,0.6962
0.6984,and,keystroke_replay,1.0,True,voice_replay,0.6984
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.6948,and,keystroke_replay,1.0,True,voice_replay,0.6948
0.6965,and,keystroke_replay,1.0,True,voice_replay,0.6965
0.6932,and,keystroke_replay,1.0,True,voice_replay,0.6932
0.6994,and,keystroke_replay,1.0,True,voice_replay,0.6994
0.6946,and,keystroke_replay,1.0,True,voice_replay,0.6946
0.6939,and,keystroke_replay,1.0,True,voice_replay,0.6939
0.6953,and,keystroke_replay,1.0,True,voice_replay,0.6953
0.6963,and,keystroke_replay,1.0,True,voice_replay,0.6963
0.6952,and,keystroke_replay,1.0,True,voice_replay,0.6952
0.6991,and,keystroke_replay,1.0,True,voice_replay,0.6991
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6965,and,keystroke_replay,1.0,True,voice_replay,0.6965
0.699,and,keystroke_replay,1.0,True,voice_replay,0.699
0.6976,and,keystroke_replay,1.0,True,voice_replay,0.6976
0.6971,and,keystroke_replay,1.0,True,voice_replay,0.6971
0.6259,and,keystroke_replay,1.0,True,voice_replay,0.6259
0.698,and,keystroke_replay,1.0,True,voice_replay,0.698
0.6951,and,keystroke_replay,1.0,True,voice_replay,0.6951
0.6981,and,keystroke_replay,1.0,True,voice_replay,0.6981
0.6978,and,keystroke_replay,1.0,True,voice_replay,0.6978
0.6982,and,keystroke_replay,1.0,True,voice_replay,0.6982
0.6974,and,keystroke_replay,1.0,True,voice_replay,0.6974
0.6963,and,keystroke_replay,1.0,True,voice_replay,0.6963
0.681,and,keystroke_replay,1.0,True,voice_replay,0.681
0.6985,and,keystroke_replay,1.0,True,voice_replay,0.6985
0.6945,and,keystroke_replay,1.0,True,voice_replay,0.6945
0.697,and,keystroke_replay,1.0,True,voice_replay,0.697
0.202,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.202
0.2305,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2305
0.6414,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6414
0.2337,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2337
0.1843,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1843
0.3461,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3461
0.3329,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3329
0.2065,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2065
0.3687,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3687
0.199,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.199
0.3285,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3285
0.4122,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4122
0.2446,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2446
0.2202,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2202
0.3683,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3683
0.1994,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1994
0.3008,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3008
0.3692,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3692
0.5916,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.5916
0.3719,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3719
0.3862,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.3862
0.2325,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2325
0.1923,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.1923
0.2245,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2245
0.199,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.199
0.3477,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.3477
0.588,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.588
0.2039,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2039
0.6012,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6012
0.2242,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2242
0.2153,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2153
0.2128,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2128
0.2319,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2319
0.4121,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.4121
0.2033,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2033
0.2151,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2151
0.2075,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2075
0.6192,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6192
0.2379,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2379
0.2298,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2298
0.203,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.203
0.2436,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2436
0.2978,and,keystroke_synthetic_variation,1.0,False,voice_synthetic,0.2978
0.6103,and,keystroke_synthetic_variation,1.0,True,voice_synthetic,0.6103
