achieved_rate,attack_type,description,jitter_pct,latency_ms,passed,pitch_factor,proximity,score,semitone_shift,source_idx,stretch_scale,target_pitch,target_rate
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.977,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.652,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.6,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.582,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.576,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.586,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.586,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.579,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.586,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.573,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.594,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.589,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.578,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.57,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.58,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.569,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.577,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.557,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.563,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.574,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.561,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.575,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.575,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.568,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.578,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.67,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.468,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.022,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.516,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,4.863,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,5.034,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.189,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.642,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.624,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.602,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.581,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.58,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.246,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.039,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.88,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.23,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.764,True,,,0.3631,,2,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,0.917,False,,,0.3059,,0,,,
,voice_replay,Captured MFCC template replayed verbatim,0.0,1.078,False,,,0.3508,,1,,,
,voice_replay,Captured MFCC template replayed verbatim,0.03,0.659,True,,,0.6983,,0,,,
